time,open,high,low,close,volume,high_time,low_time,first_index,first_time,open_bid_slippage,open_ask_slippage
2022-01-13 00:00:00+00:00,1.1439599999999999,1.144825,1.14357,1.144295,0,2022-01-13 00:09:39+00:00,2022-01-13 03:12:52+00:00,11278138.0,2022-01-13 00:00:00+00:00,1.14395,1.14397
2022-01-13 04:00:00+00:00,1.144295,1.146655,1.143885,1.146315,0,2022-01-13 07:49:59+00:00,2022-01-13 06:59:54+00:00,11278400.0,2022-01-13 04:24:28+00:00,1.14429,1.1443
2022-01-13 08:00:00+00:00,1.146315,1.14784,1.145805,1.1464699999999999,0,2022-01-13 08:21:04+00:00,2022-01-13 10:43:07+00:00,11278693.0,2022-01-13 08:00:12+00:00,1.1463,1.14633
2022-01-13 12:00:00+00:00,1.1464699999999999,1.14819,1.144755,1.1458599999999999,0,2022-01-13 14:41:39+00:00,2022-01-13 15:52:42+00:00,11279135.0,2022-01-13 12:01:22+00:00,1.1464699999999999,1.1464699999999999
2022-01-13 16:00:00+00:00,1.1458599999999999,1.147125,1.145775,1.1463649999999999,0,2022-01-13 16:27:00+00:00,2022-01-13 19:00:59+00:00,11279326.0,2022-01-13 16:27:00+00:00,1.1458599999999999,1.1458599999999999
2022-01-13 20:00:00+00:00,1.1463649999999999,1.146185,1.1451250000000002,1.145715,0,2022-01-13 20:01:20+00:00,2022-01-13 20:59:30+00:00,11279364.0,2022-01-13 20:00:19+00:00,1.14635,1.14638
2022-01-14 00:00:00+00:00,1.14566,1.14757,1.14514,1.14752,0,2022-01-14 03:27:06+00:00,2022-01-14 00:52:16+00:00,11280037.0,2022-01-14 00:00:00+00:00,1.14565,1.14565
2022-01-14 04:00:00+00:00,1.14752,1.14829,1.146225,1.1471900000000002,0,2022-01-14 05:43:49+00:00,2022-01-14 07:18:43+00:00,11280520.0,2022-01-14 04:05:17+00:00,1.14752,1.14752
2022-01-14 08:00:00+00:00,1.1471900000000002,1.14745,1.14485,1.14526,0,2022-01-14 08:42:17+00:00,2022-01-14 11:44:02+00:00,11280695.0,2022-01-14 08:00:13+00:00,1.14718,1.1472
2022-01-14 12:00:00+00:00,1.14526,1.14562,1.14239,1.14318,0,2022-01-14 12:05:13+00:00,2022-01-14 15:28:24+00:00,11280897.0,2022-01-14 12:01:02+00:00,1.1452499999999999,1.14527
2022-01-14 16:00:00+00:00,1.14318,1.143415,1.139865,1.14152,0,2022-01-14 16:00:47+00:00,2022-01-14 17:56:21+00:00,11281665.0,2022-01-14 16:00:47+00:00,1.14318,1.14318
2022-01-14 20:00:00+00:00,1.14152,1.1417950000000001,1.141245,1.1415000000000002,0,2022-01-14 20:12:05+00:00,2022-01-14 21:30:02+00:00,11282136.0,2022-01-14 20:03:32+00:00,1.14152,1.14152
2022-01-15 00:00:00+00:00,,,,,0,2014-01-01 22:07:01+00:00,2014-01-01 22:07:01+00:00,,,1.14135,1.14165
2022-01-15 04:00:00+00:00,,,,,0,2014-01-01 22:07:01+00:00,2014-01-01 22:07:01+00:00,,,1.14135,1.14165
2022-01-15 08:00:00+00:00,,,,,0,2014-01-01 22:07:01+00:00,2014-01-01 22:07:01+00:00,,,1.14135,1.14165
2022-01-15 12:00:00+00:00,,,,,0,2014-01-01 22:07:01+00:00,2014-01-01 22:07:01+00:00,,,1.14135,1.14165
2022-01-15 16:00:00+00:00,,,,,0,2014-01-01 22:07:01+00:00,2014-01-01 22:07:01+00:00,,,1.14135,1.14165
2022-01-15 20:00:00+00:00,,,,,0,2014-01-01 22:07:01+00:00,2014-01-01 22:07:01+00:00,,,1.14135,1.14165
2022-01-16 00:00:00+00:00,,,,,0,2014-01-01 22:07:01+00:00,2014-01-01 22:07:01+00:00,,,1.14135,1.14165
2022-01-16 04:00:00+00:00,,,,,0,2014-01-01 22:07:01+00:00,2014-01-01 22:07:01+00:00,,,1.14135,1.14165
2022-01-16 08:00:00+00:00,,,,,0,2014-01-01 22:07:01+00:00,2014-01-01 22:07:01+00:00,,,1.14135,1.14165
2022-01-16 12:00:00+00:00,,,,,0,2014-01-01 22:07:01+00:00,2014-01-01 22:07:01+00:00,,,1.14135,1.14165
2022-01-16 16:00:00+00:00,,,,,0,2014-01-01 22:07:01+00:00,2014-01-01 22:07:01+00:00,,,1.14135,1.14165
2022-01-16 20:00:00+00:00,1.1415000000000002,1.14195,1.14058,1.14117,0,2022-01-16 22:14:07+00:00,2022-01-16 23:10:21+00:00,11282350.0,2022-01-16 22:05:00+00:00,1.14135,1.14165
2022-01-17 00:00:00+00:00,1.14113,1.14198,1.14002,1.14198,0,2022-01-17 03:57:11+00:00,2022-01-17 01:34:24+00:00,11283113.0,2022-01-17 00:00:00+00:00,1.14114,1.14113
2022-01-17 04:00:00+00:00,1.14198,1.1428,1.141265,1.142515,0,2022-01-17 07:37:16+00:00,2022-01-17 06:58:34+00:00,11283476.0,2022-01-17 04:04:27+00:00,1.14198,1.14198
2022-01-17 08:00:00+00:00,1.142515,1.1434549999999999,1.1406749999999999,1.141615,0,2022-01-17 08:44:34+00:00,2022-01-17 11:47:00+00:00,11283652.0,2022-01-17 08:00:02+00:00,1.1425,1.14253
2022-01-17 12:00:00+00:00,1.141615,1.1415950000000001,1.139185,1.14024,0,2022-01-17 12:07:07+00:00,2022-01-17 13:23:38+00:00,11284046.0,2022-01-17 12:00:27+00:00,1.14161,1.14162
2022-01-17 16:00:00+00:00,1.14024,1.1415899999999999,1.1406399999999999,1.1412499999999999,0,2022-01-17 17:09:32+00:00,2022-01-17 16:08:30+00:00,11284326.0,2022-01-17 16:08:30+00:00,1.14024,1.14024
2022-01-17 20:00:00+00:00,1.1412499999999999,1.14123,1.14026,1.1409349999999998,0,2022-01-17 22:05:00+00:00,2022-01-17 21:11:16+00:00,11284339.0,2022-01-17 21:00:54+00:00,1.1412499999999999,1.1412499999999999
2022-01-18 00:00:00+00:00,1.141015,1.142145,1.1385100000000001,1.1392600000000002,0,2022-01-18 03:10:47+00:00,2022-01-18 03:54:52+00:00,11285026.0,2022-01-18 00:00:00+00:00,1.14101,1.141
2022-01-18 04:00:00+00:00,1.1392600000000002,1.1404299999999998,1.139265,1.139785,0,2022-01-18 07:53:04+00:00,2022-01-18 04:00:10+00:00,11285656.0,2022-01-18 04:00:10+00:00,1.13925,1.13927
2022-01-18 08:00:00+00:00,1.139785,1.14058,1.1383299999999998,1.138665,0,2022-01-18 08:28:18+00:00,2022-01-18 11:55:57+00:00,11285772.0,2022-01-18 08:00:02+00:00,1.13978,1.13979
2022-01-18 12:00:00+00:00,1.138665,1.138795,1.13431,1.13431,0,2022-01-18 12:00:06+00:00,2022-01-18 15:58:39+00:00,11285930.0,2022-01-18 12:00:06+00:00,1.13865,1.13868
2022-01-18 16:00:00+00:00,1.13431,1.134305,1.131895,1.133085,0,2022-01-18 16:00:09+00:00,2022-01-18 18:36:53+00:00,11286892.0,2022-01-18 16:00:09+00:00,1.13431,1.13431
2022-01-18 20:00:00+00:00,1.133085,1.133125,1.1314549999999999,1.13299,0,2022-01-18 22:12:39+00:00,2022-01-18 20:55:48+00:00,11287478.0,2022-01-18 20:00:04+00:00,1.13307,1.1331
2022-01-19 00:00:00+00:00,1.13288,1.133,1.131895,1.1328900000000002,0,2022-01-19 03:46:44+00:00,2022-01-19 01:34:34+00:00,11288225.0,2022-01-19 00:00:00+00:00,1.13294,1.13289
2022-01-19 04:00:00+00:00,1.1328900000000002,1.13428,1.1326049999999999,1.1329449999999999,0,2022-01-19 07:41:21+00:00,2022-01-19 04:08:08+00:00,11288501.0,2022-01-19 04:02:34+00:00,1.13288,1.1329
2022-01-19 08:00:00+00:00,1.1329449999999999,1.135,1.133115,1.134155,0,2022-01-19 10:50:11+00:00,2022-01-19 08:00:05+00:00,11288832.0,2022-01-19 08:00:05+00:00,1.13293,1.13296
2022-01-19 12:00:00+00:00,1.134155,1.135405,1.13376,1.13387,0,2022-01-19 14:46:44+00:00,2022-01-19 12:50:14+00:00,11289094.0,2022-01-19 12:20:24+00:00,1.13413,1.13418
2022-01-19 16:00:00+00:00,1.13387,1.13572,1.1341649999999999,1.13504,0,2022-01-19 16:27:57+00:00,2022-01-19 17:50:58+00:00,11289246.0,2022-01-19 16:04:28+00:00,1.13385,1.13389
2022-01-19 20:00:00+00:00,1.13504,1.1354600000000001,1.1340400000000002,1.1343100000000002,0,2022-01-19 20:34:55+00:00,2022-01-19 23:02:27+00:00,11289314.0,2022-01-19 20:34:55+00:00,1.13503,1.1350500000000001
2022-01-20 00:00:00+00:00,1.1343100000000002,1.136545,1.134305,1.13519,0,2022-01-20 01:33:55+00:00,2022-01-20 00:00:05+00:00,11289764.0,2022-01-20 00:00:01+00:00,1.13433,1.13432
2022-01-20 04:00:00+00:00,1.13519,1.13667,1.1345649999999998,1.1363750000000001,0,2022-01-20 07:44:27+00:00,2022-01-20 05:14:09+00:00,11290304.0,2022-01-20 04:00:10+00:00,1.13512,1.13526
2022-01-20 08:00:00+00:00,1.1363750000000001,1.136895,1.1333,1.1340249999999998,0,2022-01-20 08:06:00+00:00,2022-01-20 11:22:03+00:00,11290381.0,2022-01-20 08:03:18+00:00,1.13636,1.13639
2022-01-20 12:00:00+00:00,1.1340249999999998,1.135215,1.132885,1.13512,0,2022-01-20 14:12:23+00:00,2022-01-20 15:16:44+00:00,11290674.0,2022-01-20 12:06:47+00:00,1.13401,1.13404
2022-01-20 16:00:00+00:00,1.13512,1.1339299999999999,1.13114,1.131205,0,2022-01-20 16:21:50+00:00,2022-01-20 19:58:32+00:00,11290866.0,2022-01-20 16:21:50+00:00,1.13512,1.13512
2022-01-20 20:00:00+00:00,1.131205,1.131715,1.130305,1.13118,0,2022-01-20 22:32:47+00:00,2022-01-20 20:56:13+00:00,11291121.0,2022-01-20 20:12:37+00:00,1.1312,1.13121
2022-01-21 00:00:00+00:00,1.131285,1.13351,1.1301,1.13254,0,2022-01-21 02:59:56+00:00,2022-01-21 01:03:11+00:00,11291953.0,2022-01-21 00:00:00+00:00,1.13134,1.13129
2022-01-21 04:00:00+00:00,1.13254,1.13365,1.13227,1.1326749999999999,0,2022-01-21 07:29:42+00:00,2022-01-21 07:55:30+00:00,11292754.0,2022-01-21 04:00:26+00:00,1.13252,1.13256
2022-01-21 08:00:00+00:00,1.1326749999999999,1.134545,1.13264,1.13288,0,2022-01-21 09:34:18+00:00,2022-01-21 11:33:55+00:00,11292831.0,2022-01-21 08:00:03+00:00,1.13266,1.13269
2022-01-21 12:00:00+00:00,1.13288,1.13598,1.1329799999999999,1.1345450000000001,0,2022-01-21 14:25:22+00:00,2022-01-21 12:00:51+00:00,11293098.0,2022-01-21 12:00:51+00:00,1.13288,1.13288
2022-01-21 16:00:00+00:00,1.1345450000000001,1.1348150000000001,1.13405,1.13464,0,2022-01-21 16:00:57+00:00,2022-01-21 17:04:55+00:00,11293503.0,2022-01-21 16:00:04+00:00,1.13453,1.13456
2022-01-21 20:00:00+00:00,1.13464,1.13462,1.1339350000000001,1.134455,0,2022-01-21 21:58:14+00:00,2022-01-21 21:36:32+00:00,11293523.0,2022-01-21 20:00:18+00:00,1.13464,1.13464
2022-01-22 00:00:00+00:00,,,,,0,2014-01-01 22:07:01+00:00,2014-01-01 22:07:01+00:00,,,1.13436,1.13455
2022-01-22 04:00:00+00:00,,,,,0,2014-01-01 22:07:01+00:00,2014-01-01 22:07:01+00:00,,,1.13436,1.13455
2022-01-22 08:00:00+00:00,,,,,0,2014-01-01 22:07:01+00:00,2014-01-01 22:07:01+00:00,,,1.13436,1.13455
2022-01-22 12:00:00+00:00,,,,,0,2014-01-01 22:07:01+00:00,2014-01-01 22:07:01+00:00,,,1.13436,1.13455
2022-01-22 16:00:00+00:00,,,,,0,2014-01-01 22:07:01+00:00,2014-01-01 22:07:01+00:00,,,1.13436,1.13455
2022-01-22 20:00:00+00:00,,,,,0,2014-01-01 22:07:01+00:00,2014-01-01 22:07:01+00:00,,,1.13436,1.13455
2022-01-23 00:00:00+00:00,,,,,0,2014-01-01 22:07:01+00:00,2014-01-01 22:07:01+00:00,,,1.13436,1.13455
2022-01-23 04:00:00+00:00,,,,,0,2014-01-01 22:07:01+00:00,2014-01-01 22:07:01+00:00,,,1.13436,1.13455
2022-01-23 08:00:00+00:00,,,,,0,2014-01-01 22:07:01+00:00,2014-01-01 22:07:01+00:00,,,1.13436,1.13455
2022-01-23 12:00:00+00:00,,,,,0,2014-01-01 22:07:01+00:00,2014-01-01 22:07:01+00:00,,,1.13436,1.13455
2022-01-23 16:00:00+00:00,,,,,0,2014-01-01 22:07:01+00:00,2014-01-01 22:07:01+00:00,,,1.13436,1.13455
2022-01-23 20:00:00+00:00,1.134455,1.13468,1.1336849999999998,1.13418,0,2022-01-23 22:15:18+00:00,2022-01-23 23:05:44+00:00,11293777.0,2022-01-23 22:05:00+00:00,1.13436,1.13455
2022-01-24 00:00:00+00:00,1.13418,1.13412,1.132745,1.132895,0,2022-01-24 00:00:01+00:00,2022-01-24 03:44:39+00:00,11294329.0,2022-01-24 00:00:01+00:00,1.13412,1.13411
2022-01-24 04:00:00+00:00,1.132895,1.13312,1.13147,1.1325850000000002,0,2022-01-24 04:44:33+00:00,2022-01-24 06:27:22+00:00,11294601.0,2022-01-24 04:04:12+00:00,1.13289,1.1329
